Age,Sex,Province,Vehicle
21.0,ชาย,มหาสารคาม,รถจักรยานยนต์
30.0,ชาย,ตราด,รถจักรยานยนต์
58.0,หญิง,นครราชสีมา,รถจักรยานยนต์
14.0,ชาย,นครพนม,รถจักรยานยนต์
36.0,หญิง,เพชรบูรณ์,รถจักรยานยนต์
57.0,ชาย,เชียงราย,รถจักรยานยนต์
57.0,ชาย,มหาสารคาม,รถจักรยานยนต์
51.0,ชาย,สุรินทร์,รถจักรยานยนต์
60.0,ชาย,เพชรบุรี,รถจักรยานยนต์
76.0,ชาย,ฉะเชิงเทรา,รถจักรยานยนต์
14.0,ชาย,พิษณุโลก,รถจักรยานยนต์
32.0,ชาย,ฉะเชิงเทรา,รถจักรยานยนต์
21.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
10.0,หญิง,ขอนแก่น,รถจักรยานยนต์
69.0,ชาย,ขอนแก่น,รถจักรยานยนต์
37.0,ชาย,บึงกาฬ,รถจักรยานยนต์
67.0,หญิง,แพร่,รถยนต์
34.0,หญิง,ภูเก็ต,รถจักรยานยนต์
73.0,หญิง,มุกดาหาร,คนเดินเท้า
56.0,หญิง,สระแก้ว,รถจักรยานยนต์
40.0,ชาย,มหาสารคาม,รถจักรยานยนต์
49.0,หญิง,นครศรีธรรมราช,คนเดินเท้า
77.0,หญิง,ศรีสะเกษ,รถจักรยานยนต์
23.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
7.0,หญิง,นราธิวาส,รถจักรยานยนต์
38.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
46.0,หญิง,ขอนแก่น,รถจักรยานยนต์
43.0,หญิง,ชลบุรี,รถจักรยานยนต์
59.0,ชาย,เชียงราย,รถจักรยานยนต์
26.0,หญิง,เชียงใหม่,รถจักรยานยนต์
61.0,ชาย,ภูเก็ต,รถจักรยานยนต์
28.0,ชาย,ร้อยเอ็ด,รถยนต์
22.0,ชาย,เชียงใหม่,รถจักรยานยนต์
53.0,หญิง,ประจวบคีรีขันธ์,รถยนต์
16.0,ชาย,นครศรีธรรมราช,รถจักรยานยนต์
56.0,หญิง,มหาสารคาม,รถจักรยานยนต์
15.0,ชาย,นครศรีธรรมราช,รถจักรยานยนต์
76.0,หญิง,สมุทรสาคร,รถจักรยานยนต์
18.0,หญิง,มหาสารคาม,รถจักรยานยนต์
74.0,หญิง,แพร่,รถยนต์
50.0,ชาย,นครพนม,รถจักรยานยนต์
53.0,หญิง,ราชบุรี,รถยนต์
44.0,ชาย,สุราษฎร์ธานี,รถจักรยานยนต์
50.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
21.0,หญิง,ศรีสะเกษ,รถจักรยานยนต์
85.0,หญิง,นครศรีธรรมราช,รถจักรยานยนต์
50.0,หญิง,ศรีสะเกษ,รถจักรยานยนต์
83.0,ชาย,นครศรีธรรมราช,รถจักรยานยนต์
84.0,ชาย,กาฬสินธุ์,รถจักรยานยนต์
74.0,ชาย,นครสวรรค์,รถจักรยานยนต์
11.0,หญิง,สุราษฎร์ธานี,รถจักรยานยนต์
16.0,หญิง,ชลบุรี,รถจักรยานยนต์
45.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
47.0,ชาย,สมุทรปราการ,รถจักรยานยนต์
16.0,ชาย,นครสวรรค์,รถจักรยานยนต์
17.0,หญิง,เชียงใหม่,รถจักรยานยนต์
87.0,หญิง,พัทลุง,คนเดินเท้า
63.0,ชาย,เชียงใหม่,รถจักรยานยนต์
32.0,ชาย,เพชรบุรี,รถจักรยานยนต์
35.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
48.0,ชาย,นราธิวาส,รถจักรยาน
47.0,ชาย,อุดรธานี,รถจักรยานยนต์
5.0,ชาย,สกลนคร,คนเดินเท้า
